,name,count,symbol,category
0,suprise_1,10248,????,suprise
1,uncertain_1,2217,??°Ë°±,uncertain
2,joy_30,2019,??°Æç,joy
3,disgust_7,1395,????,disgust
4,uncertain_6,1385,????,uncertain
5,uncertain_17,1151,????,uncertain
6,joy_5,995,???°Î,joy
7,joy_29,881,???è,joy
8,disgust_16,657,??°Ø?,disgust
9,sadness_8,603,????,sadness
10,suprise_12,505,???°¿,suprise
11,joy_6,504,????,joy
12,sadness_9,472,???°Ø,sadness
13,sadness_2,410,????,sadness
14,joy_7,401,????,joy
15,suprise_2,381,????,suprise
16,sadness_24,375,??°Æ?,sadness
17,joy_1,360,???Å,joy
18,suprise_4,308,????,suprise
19,disgust_10,301,????,disgust
20,joy_0,291,???Ä,joy
21,disgust_13,287,??°ØÄ,disgust
22,disgust_17,283,??®C?,disgust
23,uncertain_7,268,????,uncertain
24,uncertain_14,258,???°≠,uncertain
25,suprise_8,258,???°≠,suprise
26,joy_18,254,???ç,joy
27,uncertain_3,244,???ê,uncertain
28,disgust_6,223,???°Ë,disgust
29,uncertain_18,220,????,uncertain
30,uncertain_4,220,???°Æ,uncertain
31,uncertain_15,212,????,uncertain
32,disgust_8,206,???®C,disgust
33,uncertain_11,204,???è,uncertain
34,joy_22,201,????,joy
35,joy_4,201,????,joy
36,joy_3,201,????,joy
37,sadness_19,185,??°Ë°Ø,sadness
38,joy_15,183,????,joy
39,uncertain_0,179,????,uncertain
40,suprise_17,169,????,suprise
41,sadness_13,160,????,sadness
42,sadness_0,152,???°±,sadness
43,suprise_5,139,???ù,suprise
44,joy_2,136,????,joy
45,disgust_14,124,??°Æ?,disgust
46,joy_13,120,??°Ë°™,joy
47,uncertain_5,114,????,uncertain
48,sadness_3,111,????,sadness
49,suprise_6,109,??°Ë°∞,suprise
50,suprise_9,104,????,suprise
51,joy_12,100,????,joy
52,sadness_16,92,????,sadness
53,suprise_13,87,??°Æ?,suprise
54,sadness_17,86,???°ß,sadness
55,sadness_20,80,???°§,sadness
56,joy_19,76,????,joy
57,suprise_7,75,????,suprise
58,disgust_15,69,??°Æ?,disgust
59,joy_11,67,?????è,joy
60,joy_8,65,????,joy
61,suprise_11,62,???Ä,suprise
62,sadness_18,55,???°„,sadness
63,suprise_10,55,????,suprise
64,uncertain_9,53,????,uncertain
65,joy_28,53,??°Ë°Æ,joy
66,disgust_9,52,????,disgust
67,sadness_22,52,????,sadness
68,disgust_12,50,??°Æ?,disgust
69,sadness_6,48,???°Ï,sadness
70,sadness_1,46,????,sadness
71,uncertain_19,44,??°Ëê,uncertain
72,sadness_7,44,???°∞,sadness
73,sadness_14,43,????,sadness
74,sadness_4,38,??°Ë?,sadness
75,suprise_3,32,????,suprise
76,sadness_10,31,????,sadness
77,sadness_23,29,????,sadness
78,suprise_14,25,??°Æ?,suprise
79,sadness_5,24,????,sadness
80,joy_9,19,????,joy
81,sadness_12,16,???Å,sadness
82,disgust_11,16,????,disgust
83,sadness_11,13,?????è,sadness
84,joy_21,13,????,joy
85,joy_20,12,????,joy
86,joy_17,11,????,joy
87,joy_10,11,????,joy
88,sadness_21,11,????,sadness
89,uncertain_10,11,???°™,uncertain
90,suprise_18,8,????,suprise
91,suprise_15,8,??°Ë®C,suprise
92,joy_23,3,????,joy
93,disgust_3,2,??°Ë?,disgust
94,suprise_16,1,??°Ë?,suprise
95,suprise_0,0,??°Ë?,suprise
96,joy_25,0,??°Ë?,joy
97,uncertain_20,0,??°Ë?,uncertain
98,joy_14,0,??°Ë?,joy
99,joy_16,0,???°„,joy
100,uncertain_16,0,????,uncertain
101,joy_24,0,????,joy
102,uncertain_13,0,????,uncertain
103,uncertain_12,0,??°Ïê,uncertain
104,joy_26,0,??°Ë°Ë,joy
105,joy_27,0,??°Ë?,joy
106,uncertain_8,0,??°Ë?,uncertain
107,disgust_0,0,????,disgust
108,disgust_1,0,????,disgust
109,disgust_2,0,??°Ë?,disgust
110,disgust_4,0,??°Ë?,disgust
111,uncertain_2,0,??°Ë°ß,uncertain
112,sadness_15,0,??°Ë?,sadness
113,disgust_5,0,??°Ë°Ï,disgust
114,uncertain_21,0,??°Ë?,uncertain
